ID,Location-batiment,ROOM,Ground/Floor,Asset type,"Hostname/
Label",Name/Profile of current user,Brand/Model/Qty/HostSRV,Specs1,Specs2,Serial Number,Status,Vendor,Purchase date,"Purchase
price (TTC)",P.O. #,Last user,Notes
G,Cycle des Moyens - Labs,FRANCAIS DIRECTION,,AP,CycleDesMoyen-G1-CoorInfo,,AIR-AP1815I-E-K9,192.168.20.107,bc:26:c7:44:25:10,,In use,,,,,,
G,Economat ,Infirmerie,,AP,Infirmiere,,AIR-AP1815I-E-K9,192.168.20.114,bc:26:c7:c3:29:38,,In use,,,,,,
G,Cycle des Petits 2,Info 2 (Right),,AP,PETIT2-GRD-1-INFO2,,AIR-AP1815I-E-K9,192.168.20.138,bc:26:c7:c6:35:20,,In use,,,,,,
G,Cycle des Terminales,lab chemestry,,AP,CycleDesTerminal2-G0-LabChem,,AIR-AP1815I-E-K9,192.168.20.112,bc:26:c7:19:85:a8,,In use,,,,,,
G,Cycle des Terminales,lab physique,,AP,CycleDesTerminal-G0-LabPhysics,,AIR-AP1815I-E-K9,192.168.20.89,bc:26:c7:19:83:38,,In use,,,,,,
G,Cycle des Terminales,m/v,,AP,CycleDesTerminal-G0-M/V,,AIR-AP1815I-E-K9,192.168.20.70,bc:26:c7:c6:35:70,,In use,,,,,,
G,Securite,maison,,AP,Securieporteprincipale,,AIR-AP1815I-E-K9,192.168.20.63,bc:26:c7:44:29:40,,In use,,,,,,
G,Cycle des Maternelles,MS B,1,AP,Maternelle_GRD1_PS2b,,AIR-AP1815I-E-K9,192.168.20.34,bc:26:c7:c3:41:00,,In use,,,,,,
G,Cycle des Maternelles,MS E,1,AP,Maternelle_GRD1_PS2E,,AIR-AP1815I-E-K9,192.168.20.27,00:ea:bd:64:f8:80,,In use,,,,,,
G,Cycle des Minimes,prefecture,,AP,CycleDesMinimes-GRD0-Prefectu,,AIR-AP1815I-E-K9,192.168.20.69,50:2f:a8:2c:60:a8,,In use,,,,,,
G,Cycle des Moyens,prefet,,AP,CycleDesMoyens-G0-Prefet,,AIR-AP1815I-E-K9,192.168.20.94,2c:bf:98:20:f2:18,,In use,,,,,,
G,Cycle des Secondaires,prefet,,AP,CycleSecondaire-G0-Prefet,,AIR-AP1815I-E-K9,192.168.20.112,bc:26:c7:42:29:10,,In use,,,,,,
G,Cycle des Maternelles,Prefet,0,AP,Maternelle_GRD0_PREFET_ROO,,AIR-AP1815I-E-K9,192.168.20.28,bc:26:c7:c3:49:e0,,In use,,,,,,
G,Cycle des Petits,Prefet,,AP,CycleDesPetits-G1-Prefet,,AIR-AP1815I-E-K9,192.168.20.111,bc:26:c7:c3:3a:e0,,In use,,,,,,
G,Direction ,Print Room,,AP,Administration-Above-bathroom,,AIR-AP1815I-E-K9,192.168.20.132,bc:26:c7:19:81:90,,In use,,,,,,
G,Cycle des Maternelles,PS,-1,AP,Maternelle_GRD1_PS1,,AIR-AP1815I-E-K9,192.168.20.30,bc:26:c7:c3:48,,In use,,,,,,
G,Cycle des Maternelles,PS A,-1,AP,Maternelle_GRD-1_PS1A,,AIR-AP1815I-E-K9,192.168.20.31,bc:26:c7:c6:12:08,,In use,,,,,,
G,Cycle des Grands,religion,,AP,CycleDesGrands-G-1 EduReligie,,AIR-AP1815I-E-K9,192.168.20.71,bc:26:c7:c3:4b:20,,In use,,,,,,
G,Cycle des Moyens,salle des profs,,AP,CycleDesMoyens-G0-SalleDesPr,,AIR-AP1815I-E-K9,192.168.20.102,bc:26:c7:42:2c:40,,In use,,,,,,
G,Cycle des Moyens,salle d'etude,,AP,CycleDesMoyens-G0-SalleDetud,,AIR-AP1815I-E-K9,192.168.20.87,00:ea:bd:64:f2:70,,In use,,,,,,
G,Cycle des Secondaires,salle d'etude,,AP,Cyclesecondaire-G0-SalleDetude,,AIR-AP1815I-E-K9,192.168.20.240,bc:26:c7:62:32:a0,,In use,,,,,,
G,Cycle des Secondaires,Salle d'etude,,AP,CycleSecondaire-G0-SalleDetude,,AIR-AP1815I-E-K9,192.168.20.57,bc:26:c7:c3:48:88,,In use,,,,,,
G,Cycle des Terminales,Salle D'etude,,AP,CycleDesTerminal-G2-SalleDetuc,,AIR-AP1815I-E-K9,192.168.20.71,bc:26:c7:19:6a:08,,In use,,,,,,
G,Cycle des Terminales,Salle D'etude,,AP,CycleDesTerminal-G2-SalleDetuc,,AIR-AP1815I-E-K9,192.168.20.73,bc:26:c7:44:24:58,,In use,,,,,,
G,Cycle des Petits,salle d'etude,,AP,CycleDesPetits-G2-GrandSalle1,,AIR-AP1815I-E-K9,192.168.20.81,bc:26:c7:c6:31:e0,,In use,,,,,,
G,Cycle des Petits,Salle D'etude,,AP,CycleDesPetits-G2-GrandSalle2,,AIR-AP1815I-E-K9,192.168.20.51,bc:26:c7:c3:4a:e0,,In use,,,,,,
G,Cycle des Grands,salle etude,,AP,CycleDesGrands-G0-SalleDetude,,AIR-AP1815I-E-K9,192.168.20.116,bc:26:c7:c3:38:c8,,In use,,,,,,
G,Cycle des Grands,salle etude,,AP,CycleDesGrands-G0-SalleDetude,,AIR-AP1815I-E-K9,192.168.20.120,bc:26:c7:c6:38:e0,,In use,,,,,,
